Id,Name,Slot,Stat,Success,Price
207,Scroll for Cape for Weapon Def. 60%,cape,DEF,60,0
208,Scroll for Cape for Weapon Def. 100%,cape,DEF,100,0
209,Dark Scroll for Cape for Weapon Def. 30%,cape,DEF,30,0
210,Dark Scroll for Cape for Weapon Def. 70%,cape,DEF,70,0
211,Scroll for Cape for HP 10%,cape,HP,10,0
212,Scroll for Cape for HP 60%,cape,HP,60,0
213,Scroll for Cape for HP 100%,cape,HP,100,0
214,Dark Scroll for Cape for HP 30%,cape,HP,30,0
215,Dark Scroll for Cape for HP 70%,cape,HP,70,0
216,Scroll for Cape for MP 10%,cape,MP,10,0
217,Scroll for Cape for MP 60%,cape,MP,60,0
218,Scroll for Cape for MP 100%,cape,MP,100,0
219,Dark Scroll for Cape for MP 30%,cape,MP,30,0
220,Dark Scroll for Cape for MP 70%,cape,MP,70,0
221,Scroll for Cape for STR 10%,cape,STR,10,0
222,Scroll for Cape for STR 60%,cape,STR,60,0
223,Scroll for Cape for STR 100%,cape,STR,100,0
224,Dark Scroll for Cape for STR 30%,cape,STR,30,0
225,Dark Scroll for Cape for STR 70%,cape,STR,70,0
226,Scroll for Cape for INT 10%,cape,INT,10,0
227,Scroll for Cape for INT 60%,cape,INT,60,0
228,Scroll for Cape for INT 100%,cape,INT,100,0
229,Dark Scroll for Cape for INT 30%,cape,INT,30,0
230,Dark Scroll for Cape for INT 70%,cape,INT,70,0
231,Scroll for Cape for DEX 10%,cape,DEX,10,0
232,Scroll for Cape for DEX 60%,cape,DEX,60,0
233,Scroll for Cape for DEX 100%,cape,DEX,100,0
234,Dark Scroll for Cape for DEX 30%,cape,DEX,30,0
235,Dark Scroll for Cape for DEX 70%,cape,DEX,70,0
236,Scroll for Cape for LUK 10%,cape,LUK,10,0
237,Scroll for Cape for LUK 60%,cape,LUK,60,0
238,Scroll for Cape for LUK 100%,cape,LUK,100,0
239,Dark Scroll for Cape for LUK 30%,cape,LUK,30,0
240,Dark Scroll for Cape for LUK 70%,cape,LUK,70,0
241,Scroll for One-handed Sword for ATT 10%,1HS,ATT,10,0
242,Scroll for One-handed Sword for ATT 60%,1HS,ATT,60,0
243,Scroll for One-handed Sword for ATT 100%,1HS,ATT,100,0
244,Dark Scroll for One-handed Sword for ATT 30%,1HS,ATT,30,0
245,Dark Scroll for One-handed Sword for ATT 70%,1HS,ATT,70,0
246,Scroll for One-handed Sword for Magic Att. 10%,1HS,MATT,10,0
247,Scroll for One-handed Sword for Magic Att. 60%,1HS,MATT,60,0
248,Scroll for One-handed Sword for Magic Att. 100%,1HS,MATT,100,0
249,Dark Scroll for One-handed Sword for Magic Att. 30%,1HS,MATT,30,0
250,Dark Scroll for One-handed Sword for Magic Att. 70%,1HS,MATT,70,0
251,Scroll for One-handed Sword for Accuracy 10%,1HS,ACC,10,0
252,Scroll for One-handed Sword for Accuracy 60%,1HS,ACC,60,0
253,Scroll for One-handed Sword for Accuracy 100%,1HS,ACC,100,0
254,Dark Scroll for One-handed Sword for Accuracy 30%,1HS,ACC,30,0
255,Dark Scroll for One-handed Sword for Accuracy 70%,1HS,ACC,70,0
256,Scroll for One-handed Axe for Accuracy 10%,1HA,ACC,10,0
257,Scroll for One-handed Axe for Accuracy 60%,1HA,ACC,60,0
258,Scroll for One-handed Axe for Accuracy 100%,1HA,ACC,100,0
259,Dark Scroll for One-handed Axe for Accuracy 30%,1HA,ACC,30,0
260,Dark Scroll for One-handed Axe for Accuracy 70%,1HA,ACC,70,0
261,Scroll for One-handed Axe for ATT 10%,1HA,ATT,10,0
262,Scroll for One-handed Axe for ATT 60%,1HA,ATT,60,0
263,Scroll for One-handed Axe for ATT 100%,1HA,ATT,100,0
264,Dark Scroll for One-handed Axe for ATT 30%,1HA,ATT,30,0
265,Dark Scroll for One-handed Axe for ATT 70%,1HA,ATT,70,0
266,Scroll for One-handed BW for Accuracy 10%,1HBW,ACC,10,0
267,Scroll for One-handed BW for Accuracy 60%,1HBW,ACC,60,0
268,Scroll for One-handed BW for Accuracy 100%,1HBW,ACC,100,0
269,Dark Scroll for One-handed BW for Accuracy 30%,1HBW,ACC,30,0
270,Dark Scroll for One-handed BW for Accuracy 70%,1HBW,ACC,70,0
271,Scroll for One-handed BW for ATT 10%,1HBW,ATT,10,0
272,Scroll for One-handed BW for ATT 60%,1HBW,ATT,60,0
273,Scroll for One-handed BW for ATT 100%,1HBW,ATT,100,0
274,Dark Scroll for One-handed BW for ATT 30%,1HBW,ATT,30,0
275,Dark Scroll for One-handed BW for ATT 70%,1HBW,ATT,70,0
276,Scroll for Dagger for ATT 10%,dagger,ATT,10,0
277,Scroll for Dagger for ATT 60%,dagger,ATT,60,0
278,Scroll for Dagger for ATT 100%,dagger,ATT,100,0
279,Dark Scroll for Dagger for ATT 30%,dagger,ATT,30,0
280,Dark Scroll for Dagger for ATT 70%,dagger,ATT,70,0
281,Scroll for Wand for Magic Att. 10%,wand,MATT,10,0
282,Scroll for Wand for Magic Att. 60%,wand,MATT,60,0
283,Scroll for Wand for Magic Att. 100%,wand,MATT,100,0
284,Dark Scroll for Wand for Magic Att. 30%,wand,MATT,30,0
285,Dark Scroll for Wand for Magic Att. 70%,wand,MATT,70,0
286,Scroll for Staff for Magic Att. 10%,staff,MATT,10,0
287,Scroll for Staff for Magic Att. 60%,staff,MATT,60,0
288,Scroll for Staff for Magic Att. 100%,staff,MATT,100,0
289,Dark Scroll for Staff for Magic Att. 30%,staff,MATT,30,0
290,Dark Scroll for Staff for Magic Att. 70%,staff,MATT,70,0
291,Scroll for Two-handed Sword for ATT 10%,2HS,ATT,10,0
292,Scroll for Two-handed Sword for ATT 60%,2HS,ATT,60,0
293,Scroll for Two-handed Sword for ATT 100%,2HS,ATT,100,0
294,Dark Scroll for Two-handed Sword for ATT 30%,2HS,ATT,30,0
295,Dark Scroll for Two-handed Sword for ATT 70%,2HS,ATT,70,0
296,Scroll for Two-handed Sword for Accuracy 10%,2HS,ACC,10,0
297,Scroll for Two-handed Sword for Accuracy 60%,2HS,ACC,60,0
298,Scroll for Two-handed Sword for Accuracy 100%,2HS,ACC,100,0
299,Dark Scroll for Two-handed Sword for Accuracy 30%,2HS,ACC,30,0
300,Dark Scroll for Two-handed Sword for Accuracy 70%,2HS,ACC,70,0
301,Scroll for Two-handed Axe for ATT 10%,2HA,ATT,10,0
302,Scroll for Two-handed Axe for ATT 60%,2HA,ATT,60,0
303,Scroll for Two-handed Axe for ATT 100%,2HA,ATT,100,0
304,Dark Scroll for Two-handed Axe for ATT 30%,2HA,ATT,30,0
305,Dark Scroll for Two-handed Axe for ATT 70%,2HA,ATT,70,0
306,Scroll for Two-handed Axe for Accuracy 10%,2HA,ACC,10,0
307,Scroll for Two-handed Axe for Accuracy 60%,2HA,ACC,60,0
308,Scroll for Two-handed Axe for Accuracy 100%,2HA,ACC,100,0
309,Dark Scroll for Two-handed Axe for Accuracy 30%,2HA,ACC,30,0
310,Dark Scroll for Two-handed Axe for Accuracy 70%,2HA,ACC,70,0
311,Scroll for Two-handed BW for ATT 10%,2HBW,ATT,10,0
312,Scroll for Two-handed BW for ATT 60%,2HBW,ATT,60,0
313,Scroll for Two-handed BW for ATT 100%,2HBW,ATT,100,0
314,Dark Scroll for Two-handed BW for ATT 30%,2HBW,ATT,30,0
315,Dark Scroll for Two-handed BW for ATT 70%,2HBW,ATT,70,0
316,Scroll for Two-handed BW for Accuracy 10%,2HBW,ACC,10,0
317,Scroll for Two-handed BW for Accuracy 60%,2HBW,ACC,60,0
318,Scroll for Two-handed BW for Accuracy 100%,2HBW,ACC,100,0
319,Dark Scroll for Two-handed BW for Accuracy 30%,2HBW,ACC,30,0
320,Dark Scroll for Two-handed BW for Accuracy 70%,2HBW,ACC,70,0
321,Scroll for Spear for ATT 10%,spear,ATT,10,0
322,Scroll for Spear for ATT 60%,spear,ATT,60,0
323,Scroll for Spear for ATT 100%,spear,ATT,100,0
324,Dark Scroll for Spear for ATT 30%,spear,ATT,30,0
325,Dark Scroll for Spear for ATT 70%,spear,ATT,70,0
326,Scroll for Spear for Accuracy 10%,spear,ACC,10,0
327,Scroll for Spear for Accuracy 60%,spear,ACC,60,0
328,Scroll for Spear for Accuracy 100%,spear,ACC,100,0
329,Dark Scroll for Spear for Accuracy 30%,spear,ACC,30,0
330,Dark Scroll for Spear for Accuracy 70%,spear,ACC,70,0
331,Scroll for Pole Arm for ATT 10%,polearm,ATT,10,0
332,Scroll for Pole Arm for ATT 60%,polearm,ATT,60,0
333,Scroll for Pole Arm for ATT 100%,polearm,ATT,100,0
334,Dark Scroll for Pole Arm for ATT 30%,polearm,ATT,30,0
335,Dark Scroll for Pole Arm for ATT 70%,polearm,ATT,70,0
336,Scroll for Pole Arm for Accuracy 10%,polearm,ACC,10,0
337,Scroll for Pole Arm for Accuracy 60%,polearm,ACC,60,0
338,Scroll for Pole Arm for Accuracy 100%,polearm,ACC,100,0
339,Dark Scroll for Pole Arm for Accuracy 30%,polearm,ACC,30,0
340,Dark Scroll for Pole Arm for Accuracy 70%,polearm,ACC,70,0
341,Scroll for Bow for ATT 10%,bow,ATT,10,0
342,Scroll for Bow for ATT 60%,bow,ATT,60,0
343,Scroll for Bow for ATT 100%,bow,ATT,100,0
344,Dark Scroll for Bow for ATT 30%,bow,ATT,30,0
345,Dark Scroll for Bow for ATT 70%,bow,ATT,70,0
346,Scroll for Crossbow for ATT 10%,crossbow,ATT,10,0
347,Scroll for Crossbow for ATT 60%,crossbow,ATT,60,0
348,Scroll for Crossbow for ATT 100%,crossbow,ATT,100,0
349,Dark Scroll for Crossbow for ATT 30%,crossbow,ATT,30,0
350,Dark Scroll for Crossbow for ATT 70%,crossbow,ATT,70,0
351,Scroll for Claw for ATT 10%,claw,ATT,10,0
352,Scroll for Claw for ATT 60%,claw,ATT,60,0
353,Scroll for Claw for ATT 100%,claw,ATT,100,0
354,Dark Scroll for Claw for ATT 30%,claw,ATT,30,0
355,Dark Scroll for Claw for ATT 70%,claw,ATT,70,0
356,Scroll for Knuckler for Attack 10%,knuckle,ATT,10,0
357,Scroll for Knuckler for Attack 60%,knuckle,ATT,60,0
358,Scroll for Knuckler for Attack 100%,knuckle,ATT,100,0
359,Dark Scroll for Knuckler for Attack 30%,knuckle,ATT,30,0
360,Dark Scroll for Knuckler for Attack 70%,knuckle,ATT,70,0
361,Scroll for Knuckle for Accuracy 10%,knuckle,ACC,10,0
362,Scroll for Knuckle for Accuracy 60%,knuckle,ACC,60,0
363,Scroll for Knuckle for Accuracy 100%,knuckle,ACC,100,0
364,Dark Scroll for Knuckle for Accuracy 30%,knuckle,ACC,30,0
365,Dark Scroll for Knuckle for Accuracy 70%,knuckle,ACC,70,0
366,Scroll for Gun for ATT 10%,gun,ATT,10,0
367,Scroll for Gun for Attack 60%,gun,ATT,60,0
368,Scroll for Gun for Attack 100%,gun,ATT,100,0
369,Dark Scroll for Gun for Attack 30%,gun,ATT,30,0
370,Dark Scroll for Gun for Attack 70%,gun,ATT,70,0
371,Scroll for Pet Equip. for HP 10%,pet,HP,10,0
372,Scroll for Pet Equip. for HP 60%,pet,HP,60,0
373,Scroll for Pet Equip. for HP 100%,pet,HP,100,0
374,Dark Scroll for Pet Equip. for HP 30%,pet,HP,30,0
375,Dark Scroll for Pet Equip. for HP 70%,pet,HP,70,0
376,Scroll for Eye Accessory for INT 10%,eye,INT,10,0
377,Scroll for Eye Accessory for INT 60%,eye,INT,60,0
378,Scroll for Eye Accessory for INT 100%,eye,INT,100,0
379,Dark Scroll for Eye Accessory for INT 30%,eye,INT,30,0
380,Dark Scroll for Eye Accessory for INT 70%,eye,INT,70,0
381,Scroll for Spikes on Shoes 10%,shoes,SPIKES,10,0
382,Scroll for Cape for Cold Protection 10%,cape,COLD,10,0
383,Scroll for Pet Equip. for Speed 10%,pet,SPEED,10,0
384,Scroll for Pet Equip. for Speed 60%,pet,SPEED,60,0
385,Scroll for Pet Equip. for Speed 100%,pet,SPEED,100,0
386,Scroll for Pet Equip. for Jump 10%,pet,JUMP,10,0
387,Scroll for Pet Equip. for Jump 60%,pet,JUMP,60,0
388,Scroll for Pet Equip. for Jump 100%,pet,JUMP,100,0
389,Clean Slate Scroll 1%,all,CLEAN,1,0
390,Clean Slate Scroll 3%,all,CLEAN,3,0
391,Clean Slate Scroll 5%,all,CLEAN,5,0
392,Clean Slate Scroll 20%,all,CLEAN,20,0
